listing_id,id,date,comments
44077,511231448,8/17/2019,"Staying with Teresa was the best decision we could have made. 
Teresa and her husband Hugh are incredibly friendly and really take care of their guests to make sure they feel welcome. They have lots of information about exploring the city, restaurants, pubs, things to do, public transport, you name it.
The room was bigger than we expected and very pretty with lots of attention to detail. The room, bedroom and kitchen were perfectly clean. Teresa offers a lovely breakfast as well, different kinds of bread, jam, nutella, cereal, tea, coffee... you name it. The perfect way to start a long day of sightseeing 
Our personal highlights were the fluffy towels and the heated blankets.
I would absolutely book this place again,  not only because of the stylish room but also because of the wonderful hosts."
44077,519802712,8/29/2019,"Great location for getting in Dublin and exploring. Super helpful, friendly and knowledgeable about all the local attractions and interesting places to go. Thanks for a great stay!"
44077,527980800,9/12/2019,"Very good people in a cute house, very comfortable !"
44077,529934852,9/15/2019,Really enjoyed our stay. Bedroom was smaller than expected but hosts were lovely.
44077,532157497,9/19/2019,"A very warm, inviting place to stay. I had a wonderful experience, and they were so kind and helpful with the best tips for getting around and places to go."
44077,534172754,9/22/2019,"It was easy to find. Very clean. Nice breakfast. Lovely garden, if our stay had been longer we would have sat out there too. Nice and peaceful after a busy day in the city! Thank you for your hospitality!"
44077,538824937,9/30/2019,"Great location, lovely tips to find the perfect spots around the city."
44077,550037610,10/18/2019,"Excellent location
Super host"
44077,566744472,11/20/2019,"Teresa and her husband are exceptional hosts, and their home is terrific. We couldnt have asked for a better stay in Ireland."
85148,451269911,5/11/2019,The host canceled this reservation 27 days before arrival. This is an automated posting.
85156,418489826,3/2/2019,Teresas place is a quite locality and is very stylish with very thoughtful touches. She and her husband are very respectful of the person staying at the property and at their toes to help when needed.
85156,420996820,3/8/2019,Hosts were brilliantly helpful. The house was amazing and near everything we were interested in getting to. Also Teresa is a saint. We had a minor scheduling issue and they worked through it with us without a complaint and were super kind through the whole thing. You wont find a more lovely couple in all Dublin and that is saying something. Everyone we met was super nice.
85156,425866323,3/19/2019,Very kind and sweet people. A pleasure to stay with them!
85156,431615187,4/1/2019,Teresa and Hugh are wonderful hosts in their cozy cottage in Churchtown. Great spot for launching into exploring Dublin.
85156,434727632,4/8/2019,Both of our hosts were very helpful. It's very easy to get to the house from the airport and to Dublin. Great experience!
85156,435787447,4/11/2019,Great location with easy transport links. Nice friendly atmosphere and lovely hosts.
85156,440114696,4/20/2019,"Teresa and Hugh were both amazing, kind, helpful and thoughtful. I love my stay in their beautiful and comfortable home and would choose to stay with them again should the occasion arise once more. Highly recommended! Great location for shopping, the mountains, sea and Dublin centre, very close to transport links too if you don't have a car!"
85156,449311799,5/6/2019,"We had a wonderful time at Teresas place! The room and the house are neat and clean, the bed really comfortable! Teresa and her husband are really charming and will recommend you the best place of Dublin to visit. Thanks for all the advices and see you surely soon!"
85156,452573389,5/13/2019,"Despite the late hour we wer greeted super friendly. Our room was perfectly equipped,  clean and big enough for two people. Breakfast was included in the price and there was a lot of choice. The house is super cozy and the two hosts (Hughie and Teresa) are super nice and lovely. We felt right at home. With the bus or the train/tram one arrive within 20 minutes in the City centre. The connections are good. I would recommend the accommodation to anyone who doesn't want to live right in the centre of Dublin. You could also meet some other guest and have nice conversation with them. Dundrum is a very beautiful and idyllic place. Perfect holiday with a perfect accommodation :)"
85156,455170576,5/19/2019,"Very nice hosts, all good."
85156,456754300,5/22/2019,"Gorgeous backyard with plenty of seating, beautiful kitchen with 3 walls of windows, and free arking on site! They are very friendly people with a lovely home."
85156,464273207,6/5/2019,What a wonderful little home with warm and caring hosts! I could not recommend Teresa and her husband more; they were both happy to tell us about different places to visit in the area and were interested in learning about our lives back in the States. Our room was cozy and had everything we needed for our week-long stay. The Holly Cottage was the perfect home-away-from-home for our first trip to Ireland and we couldn't have asked for better hosts.
85156,469871589,6/15/2019,"Theresas place is fantastic - I stylish and tidy Irish house far from the city center but very accessible with the bus - the ride offers the possibility of capturing the citys beauty :) You also benefit of a breakfast with a view - part of the kitchens walls are made of glass and you can see the beautiful garden. 

She was very hospitable and offered a lot of information regarding places to visit as tourists. 

I would gladly return there!"
85156,471906714,6/18/2019,"T and Huey are so awesome!! Their house is sooo cute and very close to the 14 bus that takes you into town. They are also very helpful with tips around the town, and on what you should do. Highly recommend!"
85156,478057979,6/29/2019,Fantastic host. Felt like home
85156,484044085,7/8/2019,"Very friendly and helpful people, they are very organized and have a good system"
85156,485774499,7/11/2019,Beautiful home and amazing hosts! I would definitely book with them again.
85156,489721720,7/17/2019,"Teresa was very friendly and patient with us, although we had some unexpected changes in our travel plan. The flat was very comfortable, tidy and nice. The breakfast was also very good. During the night the water heater turned on every now and then, which was quite noisy and kept waking the sleeper up. However, we can highly recommend Teresas place!"
85156,494525920,7/24/2019,"Accoglienza calorosissima! Teresa ci ha guidati prima ancora che chiedessimo informazioni. Casa molto pulita, persone gentilissime."
85156,498739266,7/30/2019,"We spent a lovely week-end at Teresa's place. The cottage is very well situated, it's very easy to get to the city centre and Teresa and her husband provided us with all the information we needed about public transport, places to visit etc. The house is cosy and clean, the bedroom really nice, the only problem is the water heater which is really noisy and kept waking us up at night. But for the rest of it, it was a great stay and we thank Teresa and her husband for their hospitality !"
85156,500430084,8/2/2019,A great alternative to an expensive Dublin hotel. Teresa is so friendly and it is truly lovely to come back to a suburban atmosphere when travelling. Simple transport options into Dublin City.
85156,502870923,8/5/2019,"Such a welcoming place to stay near Dublin. The cottage was even cuter than we could have imagined, and the hospitality made us feel at home. Would definitely come again."
85156,509855809,8/15/2019,"The cottege is nice, a bit away from the city center. Bright kitchen where self service cold breakfast is served. Room not big but cozy.  Good value for money! Thanks!"
85156,518816323,8/27/2019,"Teresa and her husband have a wonderful small house in churchtown. To the City Center it takes you about 30 to 45 minutes.
We had a nice little double room. In the bathroom it can get a bit busy,  as three room share one bathroom with toilet. 
Breakfast is continental and good."
85156,523762967,9/4/2019,"Amazing place to stay in a superb location, hosts are lovely. Would highly reccomend."
85156,526750131,9/9/2019,"Comfortable accomodation, convenient for Dublin amenities. Lovely hosts."
85156,528132141,9/12/2019,"Teresa and her husband run a lovely B&B. The rooms, while modest, are comfortable and very clean. Their location is well situated to grab public transit and Teresa is wonderful with help to get out and about with suggestions and directions. The only suggestion I have is for folks that are light sleepers and that is to bring ear plugs. The cottage is lovely, but there are noises in the early evening with other guests using the common washroom etc. Not unexpected with common facilities."
85156,533336742,9/21/2019,"Teresa and Hugh were so accommodating! They're lovely home was always clean, and they looked after us very well! Definitely would like to come back again"
85156,543297249,10/7/2019,"We highly recommend Teresa's house. She is such a amazing host and her home is perfect. Everything was clean and she had basic food for breakfast (i.e. bread, peanut butter, cornflakes, milk, orange juice). Also she waited when we arrived and gave us useful advices. She is more than willing to make your stay as comfortable and convenient as possible. If you're on your way to Dublin I' recommend staying at Teresa's home."
85156,544438292,10/10/2019,"Great place to stay, lovely  home"
85156,558844818,11/3/2019,Teresa was a lovely host and i would very much like to visit again!
85156,560575764,11/7/2019,"Cosy, comfortable clean space. We had a lovely time, really appreciated local tips for restaurants and day trips (visiting Howth was great!)."
121030,425850076,3/19/2019,This place was amazing!! Norah is a wonderful host!
159889,421355902,3/9/2019,Yes
159889,422544387,3/11/2019,"Margaret and Gordon are lovely and their house is quite and is wonderful to stay , highly recommended"
159889,423877757,3/15/2019,"Nice home. Comfortable bed, even for a big guy like me."
159889,425478077,3/18/2019,"Margaret together with her husband Gordon are wonderful hosts. I couldnt have asked to stay with better hosts especially as I was a lone traveller. 

Their home is within access to bus routes so it is cheap and easy to commute from airport and into the city centre (€3 one way to centre from the bus stop at the end of their road)  on one bus no. 16. 

Theres a super value supermarket across the road where I got a leap card to load with bus fare (€5 for card). Theres also a pub across the road. 

I felt totally at home here. Nothing was too much to ask. And so laid back I didnt feel like I was getting in their way. 

I will definitely be visiting again and highly recommend Margarets place."
159889,427771019,3/24/2019,"Extremely friendly, welcoming and helpful hosts. Quiet location but within easy reach of bus stop to city centre and airport."
159889,433892134,4/7/2019,"Nice place, near to a bus station, the host are really welcoming.
I recommend."
159889,437255852,4/14/2019,"Small room & very comfortable bed! Perfect for the single traveler & for a short stay. I felt at home  Margaret & her partner are super kind & love to have a conversation. They also offer a small breakfast! It was a surprise to me as I was not aware of this genuine perk. They also were accomodating to my unavoidable last-minute late check-in. Communication was timely! 
As for location, it is close to the airport & a 30ish-minute bus ride to the center. I definitely recommend!"
159889,444765864,4/28/2019,Warmly and welcoming homelike place with a cozy and comfy bed.
159889,451952871,5/12/2019,"Margaret is a lovely host and the place is close to the university, very clean, and my stay was incredibly easy and low-key. Highly recommend."
159889,454060007,5/17/2019,"Had a nice stay in Margaret 's home. Room was nice and clean, quite location ideal for city or airport. Bar and shops also close to house."
159889,455839454,5/20/2019,"Margaret was a wonderful host! Easy access from the airport and to the city center! (Only one 20min bus to both!) Cozy room with a really comfy bed, 3 min walk to supermarket and a REALLY good Thai place called Mama Thai."
159889,457049302,5/23/2019,"Ideal location, cosy and warm"
159889,457951955,5/25/2019,"Margaret and Gordon are super nice, the place is clean and location is just perfect. I will definitely recommend friends visiting Dublin to stay here. :)"
159889,459345099,5/27/2019,Convenient distance between airport and town. They provide a simple breakfast which I appreciated as I could get started with my day straight away!
159889,460462367,5/29/2019,"Was looked after so well by these guys, they have a great sense for hospitality and go out of their way to help. The room was really cosy too. Would definitely stay again."
159889,461222357,5/31/2019,"Margaret's home is very homely and welcoming. Nothing is too much hassle and offers great value for money, close to airport and only a short bus ride from the city centre."
159889,462811262,6/2/2019,"Margaret was very kind and welcoming, you get an authentic Irish family vibe from them it was lovely. She was very understanding of my need for rest from jet-lag and would check in to make sure I was okay. Both hosts are very kind and accommodating"
159889,464245079,6/5/2019,"Expect a quiet, welcome place to stay where you are well cared for."
159889,467342661,6/10/2019,Friendly and flexible host and nice neighbourhood.
159889,469805647,6/15/2019,"Magaret and Gordon are such wonderful hosts! They welcomed me as an old friend and were always interested in my actions, what my plans are and how I enjoyed the daytrips! They were so nice and helpful, I think I have special expirience, I twisted my ankle at my first day and they helped me with everything I would've asked for! Lovely people! I would always come back because I felt so safe!"
159889,470491689,6/16/2019,"Excellent value .  Location  is 20 minute bus ride from the airport.  Hosts are helpful ,friendly & accommodating."
159889,473194537,6/21/2019,"Margaret and Gordon's house was a FANTASTIC place to stay on my vacation (holiday (-:). I arrived by taxi and the neighborhood was so cute. I was let in and led to my room, did a little unpacking, and then got to hang out with Margaret for a bit until Gordon came home. Right away I felt like part of the family. They are a delightful Irish couple with lots of hospitality, stories and tips to offer.  I loved watching the family dynamic and felt comfortable making myself at home.  We went grocery shopping together which was fun for me as a traveler. 

Gordon had lots of Irish jokes and songs to share with me and we spend ages laughing and joking. Margaret introduced me to her family living next door and I had the most delightful time playing with her granddaughter.  It was wonderful to have people to chat with at tea in the morning and dinner at night. 

Gordon and Margaret offered me tips for traveling during the day, suggestions of places to visit and to see, and how to get there most efficiently. Even which buses were the best. I had fun following their advice and it made me feel more confident on my day trips. Plus, I knew I could contact them if something went awry and I needed assistance. It was really the complete package for someone traveling on a budget.

Thank you both for the wonderful week in Beaumont and for your hospitality - I would suggest that anyone who wants a homestay experience in Ireland should stay with this delightful family.

-Giselle"
159889,473861012,6/22/2019,"My best airbnb experience ever!Great price for the offer!Perfect location, easy fast access to the city center,The place was very well located by public transportation or even by feet."
159889,476094815,6/25/2019,A hospitable couple who looked after me well for my one night stay.
159889,478050790,6/29/2019,Amazing hospitality! Will help you figure out local transportation! Overall amazing stay!
159889,478782591,6/30/2019,"Perfect for someone arriving at a late flight or having an early one.
My stay was really short, as I arrived late and had a bus to Belfast early the next morning, but everything was as I needed."
159889,480768434,7/3/2019,Margaret and Gordon are welcoming hosts.  The house is pretty and the location is ideal between the airport and the town.
159889,481125847,7/4/2019,Margaret is kind and friendly and the location of her place is ideal for airport connections.
159889,484741496,7/9/2019,"This place was great. Margaret and Gordon were awesome. They were very hospitable, and even offered breakfast which was great. The place was real close to the 16 bus which you can take to downtown Dublin or to the airport. The room was very nice and cozy. The bed was very comfortable. It was just what I needed for my travels to Ireland. Thanks so much guys!"
159889,485253398,7/10/2019,"Margaret and her husband were incredibly helpful, provided everything I needed and made me very welcomed during my short stay. Thank you."
159889,490353926,7/18/2019,Margaret was a lovely lady so kind and it was a home away from home. Location is perfect for city centre and airport and she arranged taxi in morning.
159889,491405774,7/20/2019,"Small, but nice and quiet room in a qiet neighbourhood. Close to various bus stations. Very friendly hosts :-)"
159889,492212952,7/21/2019,"Great location, wonderful hosts and a comfortable bed!"
159889,496339900,7/27/2019,I had a lovely time at Margaret's place. Everything went smooth and she's a very kind and generous host. I really recommend her place and I'd love to go back for another stay. I wish you and Gordon all the best Margaret. Regards from France.
159889,499348398,7/31/2019,"Friendly, efficient and hospitable service with a personal touch. Quick responses online and happy to work around you with check-in times. Clean and comfortable room, nice house in a quiet Irish suburb and all-round great craic"
159889,508068754,8/12/2019,Easy access to the airport and the center of Dublin from there. Margaret is a very helpful and kind host. Comfy bed and breakfast are a big plus!
159889,516372374,8/24/2019,About 25 minutes to City Centre by Bus 14 or Bus 16. Friendly guests and hosts. Good pubs in the area and a supermarket near. The Beaumont neighborhood where it is located is quiet and calm during the day and evening.
159889,525875987,9/8/2019,"Margaret is kind, accommodating, and quick to respond. Her place is in a safe residential neighborhood conveniently located across the street from a grocery store and restaurants. Its only a 15 min taxi ride into the city or 10 min ride from the airport (or very close to the bus stop!). Had a great stay and would return!"
159889,528986192,9/14/2019,Nice place to stay for the first days in dublin
159889,529164390,9/14/2019,"The house is nice. The room was clean, warm and comfortable.
Margaret was very friendly.
It suited me perfectly."
159889,529898042,9/15/2019,"Margaret was very welcoming and helpful, good communication, house clean, and handy location. Would stay again."
159889,531364753,9/17/2019,Very welcomming hospitable hosts
159889,532294144,9/19/2019,"Margaret was a very welcoming and friendly host. We had some nice conversations too. She gave me some tips on where to go for food etc. I stayed with Margaret for just one night. The house is conveniently located in a quite neighborhood close to the airport. The bus stops around the corner and takes you to the airport in less than 15 min. Despite my short visit, I enjoyed my stay."
159889,534977457,9/23/2019,The room is ok when you expect to have a small room with a single bed. The mattress is very soft and I had problems to sleep on it. The location is not really central- you first need to go to the bus stop around 10 minutes and then it takes around 30 minutes to downtown Dublin. If you do not like smoke you should not stay there as it is a smoker house and you smell it strongly in the room. For 1 or 2 days the stay is ok but the room is very small.
159889,536665786,9/27/2019,Place was just as expected. Margaret and her husband are very nice and will definitely make you feel like home if you let them. Had a great time during breakfast with them and they helped me with tips to visit the city. The location is very convenient to get to the airport too.
159889,546935725,10/14/2019,The best part of my 2 week trip to Ireland was meeting Margaret and her husband.  They were filled with great suggestions for places to visit and eat and always made me feel welcomed.  They have one of the few Airbnbs that offer a light breakfast and it was nice being able to keep food in the fridge for meals and snacks .   I highly recommend this warm and wonderful Irish family to stay with for your trip.
159889,551515755,10/20/2019,"Nice place, close to bus station and about a 30 minute ride directly into the city centre!"
159889,558086469,11/2/2019,Nice place to stay near Beaumont hospital and airport
159889,562117815,11/10/2019,"I really liked it. Nice bedroom, good location - only 30 min from city centre by bus. Also Margaret and her husband were really nice and gave good tips regarding local transportation."
159889,568327127,11/24/2019,Ms Margaret is very helpful person and i had a wonderful hospitality :)
162809,419054209,3/3/2019,Robbie is a fantastic host with a great sense of humour. The place is lovely & suited our needs perfectly. Will return!
162809,424923885,3/17/2019,A warm host who knows how to talk. The house is clean and the connection to the city is very good.
162809,425858201,3/19/2019,Good location with very easy bus access. Robbie was always available for questions and to sit down for a tea (he lives on the 3rd floor of the flat).
162809,426923798,3/22/2019,Robbies is very convenient for anybody working locally. It is quiet and safe. Good value
162809,427970662,3/24/2019,Absolutely amazing very comfortable and has an amazing view and places to visit. Transport is just outside the estate. Very comfortable and quiet good for a get away.
162809,431030693,3/31/2019,"Another excellent visit to Robbie's lovely apartment. Lovely welcome, comfortable bed and great hospitality."
162809,433301207,4/6/2019,"Friendly, polite, restful, clean and comfortable. What else do you need. Home away from home.

Many thanks Robbie."
162809,433973688,4/7/2019,"Robbie was a brilliant host from start to finish. He was quick to respond to my queries and gave me an in-depth overview of the house before we arrived. He was really friendly and the house was perfect for our stay, close by to UCD and other amenities. Would have no problem to recommend Robbies for a great stay."
162809,435089261,4/9/2019,Robbie is a wonderful man and very attentive host. He went out of his way to make our stay as comfortable as possible and help us find our way around. I was sorry that our stay was so short.
162809,437250545,4/14/2019,"Alojamiento muy limpio, Robbies es super atento y amable, el desayuno perfecto, seguro que volvemos alli. Gracias por todo."
162809,440207225,4/20/2019,A charming apartment. Rob was very hospitable and provided a lovely breakfast.
162809,442396664,4/23/2019,"Really nice house, good location and Robbie was very hospitable."
162809,443659630,4/26/2019,"This is a great place to stay (this is our second time, and it would be more if I didn't tried to book it too late in few occasions). Our host Robbie was very warm and helpful in every way possible. Every time he suggests a new local attraction and he always nails it! His house is cosy, spacious and inviting - great value for money. I am sure we'll book him again as soon as possible."
162809,447810441,5/4/2019,Robbie is a great host and wonderful conversationalist. I highly recommend for anyone passing through or rambling round Dublin. To anyone wanting to get the local (Website hidden by Airbnb) better man than Robbie. Great value and much cleaner than many other places that Ive booked through AirBnB.  I will be staying again the next time I need a room in Dublin.
162809,448411960,5/5/2019,"1)Robbie is a gorgeous host with great hospitality! We arrived in Dublin late at night but we still cook dinner together. 2)Cozy environment and nice neighborhood! 3)Easy transportation where the bus station nearby:) 
We all had a great time spending in Robbies place and Dublin:) thanks again"
162809,450022741,5/8/2019,Robbies place is in a great location. Easy to commute into Dublin and other nearby areas. Robbie is very hospitable and kind and has great local recommendations.
162809,450844603,5/10/2019,Great place to stay
162809,452910473,5/14/2019,great hospitality and brilliant location
162809,456334069,5/21/2019,"great host, location and value"
162809,457476335,5/24/2019,great again
162809,460809691,5/30/2019,"Pleasant and calm atmosphere.The best host who I ever met.Robbie is very good interlocutor, from whom we learned a lot about the history and culture of Dublin"
162809,465185754,6/7/2019,"Very clean, very easy to access and parking right out the front. Robbie is a friendly guy who went above and beyond with his hospitality."
162809,466551976,6/9/2019,All are fine. Just the address given by the owner incorrect.
162809,468336277,6/12/2019,Robbie has a very nice house in Dublin. He is very friendly for his guests.
162809,468747434,6/13/2019,Robbie is a great host. It was a very smooth and hassle free booking. Will definitely return.
162809,472277239,6/19/2019,"Robbie is a really friendly guy, his place is spotless with comfortable beds. he was very helpful telling us where the local eateries were. If you choose to stay here you won't be disappointed"
162809,473191837,6/21/2019,"Very friendly host, nice accommodation. Thank you!"
162809,477472446,6/28/2019,"We had a lovely one-night stay at Robbies as we recovered from our jet lag. The house is even nicer than it looks in the pictures, and the large windows and high ceilings really make it seem huge! The beds were comfortable, and we all slept well. Robbie was an outstanding host, helping us with luggage, providing refreshments (and breakfast!!), leaving detailed instructions around the house, and including sweet touches like leaving a childrens book of Irish history on our sons bed. While not really in Dublin, this place was easy to get to and could make a nice home base for exploring Dublin, the East Coast, and beautiful Wicklow.  Highly recommended!"
162809,478784619,6/30/2019,Robbies place was lovely. It is right by the bus lines so it is very easy to get to the city center or anywhere else you might like to go. His home is spacious and Robbie is a friendly and welcoming host!
162809,481253393,7/4/2019,Another excellent stay in our Dublin home from home. Highly recommended.
162809,483002966,7/7/2019,Lovely location. Great hospitality. Comfortable home.
162809,488699305,7/15/2019,Robbie is a extraordinary host and let none of our wishes open to really feel like being at our ones home. It was a great stay and we got also great tipps for discovering Ireland.
162809,493265422,7/22/2019,Great place to stay. Very clean and spacious. Robbie was great and helped us with whatever we needed!
162809,502223883,8/4/2019,Very nice house. Friendly man. Al facilities you need. Felt like home.
162809,517256510,8/25/2019,"Fantastic host, great place to stay. Will certainly be back. Thanks Robbie."
162809,518298540,8/26/2019,"Thanks Robbie, it was a real pleasure to stay in your accommodation. Marc Elvire and the happy kids."
162809,519905142,8/29/2019,Great place. Robbie is extremely helpful and welcoming. Highly recommend!
162809,525848222,9/8/2019,"Robbie is the most excellent host. He gave us such a warm welcome and went out of his way to help us. His setup is superbly done. The bathroom is extremely clean, as are the bedrooms. The whole place is peaceful and calm and lovely. The beds are fantastic as is the quiet, darkness and fresh air, and I slept like a log. Robbie accommodated me and my parents in two charming proper separate rooms for the same price as one room. Much much better than a hotel and the cultural exchange aspect was such a joy. Robbies instructions and communication was extremely helpful and detailed. Airbnb legend!"
162809,527578538,9/11/2019,The beds are glorified camp beds that are rock hard with thin mattresses. No lock on bathroom door. Host is delightful and very helpful. Place is easy to find only 25 mins on bus to city centre. Very basic but clean and lovely breakfast provided.
162809,529141116,9/14/2019,"Thankyou so much Rob for a great stay. Excellent communication prior to arrival, nothing left to chance, brilliant directions on how to get to his home. 
Once there we were made to feel very welcome, lovely area, direct access to town. 
Stay here, the craic was great 
Great sense of humour and lovely bloke too! Thank you"
162809,530763212,9/16/2019,"Clean, easy to find accommodation."
162809,531807500,9/18/2019,"Robbie's place was perfect to stay, the room was super clean and cozy. Robbie was really helpful with everything we required. Also the location was perfect, on a quiet neighborhood but well communicated with the city center. Highly recommend!"
162809,534168247,9/22/2019,"There was a great experience to stay in Robbie's house. Beautiful, clean and cozy home and good location. He couldn't be with us but he left a lot of directions and prepared supper. We spent great time. I recomend him"
162809,546238347,10/13/2019,"We stayed at Robbie's place at the beginning of our trip around Ireland.  He was very welcoming and sociable, gave us a lot of useful information on the trip."
162809,549696806,10/18/2019,"Easy going, great hospitality and plenty buses into town."
162809,551356201,10/20/2019,A very kind and gentle man
162809,556373650,10/29/2019,"Robbie was a gracious host, super helpful with recommendations, letting us do several loads of laundry and giving suggestions for our next stops. He was a great host"
162809,557094166,10/31/2019,"Clean, warm house. Robbie was a very thoughtful host who couldn't have done more for us."
162809,561930999,11/10/2019,Fantastic place to stay. Very comfortable and Robbie was easy to deal with. The rooms were immaculate and service outstanding. We will be back!. Robbie was very knowledgable on the area and local transport to get us to the location from town.
165828,444825292,4/28/2019,"This apartment was very nice. Great directions and communication and very accommodating hosts. Easy check-in. Clean, beautiful apartment with full kitchen and large bathroom, washing facilities and television. 1 double bed, 1 single bed and 2 pull out couch beds make for close quarters since the bathroom is off the bedroom but nice if youre a tight knit group. Highly recommended!"
165828,472279615,6/19/2019,"We found the apartment fairly clean and well stocked. It was easy to access public transportation to access Dublin. There are several convenience stores nearby, as well as a playground. Unfortunately the wifi was not working during our stay, which was a bit inconvenient. Also the couch/sofa bed mattress was thin and uncomfortable and very squeaky, with road noise quite prevalent in the common area. Having a washing Maschine was nice. I would recommend this Appartement overall."
165828,485088864,7/10/2019,Very nice flat and easily accessible to most of Dublins attractions. I would recommend it ; )
165828,524647875,9/6/2019,"Very lovely place. Loved the living room the most, it was bright and spacious. The fireplace was a pretty spot considering we don't have them where we're from. 

Only thing - the floor was so thin, every step my family and I took would make such a noise to the point that we had a neighbour complain. We feel bad about that.

But all in all, everything else was great. Location, etc. Even provided a book to help us around the house."
165828,531394424,9/17/2019,"Great trip. Flat was nice and clean and there was everything we needed for cooking. Not  far from city center, 5 min. walk to tram and Tesco. Also very nice neigborhood and good pubs near."
165828,533867958,9/22/2019,We were very satisfied with the stay.
165828,535872317,9/25/2019,We stayed three nights in the house. It is well located and organised. Just two notes: the sofa is a bit uncomfortable to sleep and the burner is a bit slow. But everything else was perfect and clean!
165828,538832886,9/30/2019,"Comfy for no more than three. Beautifully appointed, nice area."
165828,552719429,10/22/2019,"We spent 5 days at Grainnes's place and we had a wonderful time. Downtown is not located far away, you can easily get there by bus or the Luas or you can try the local bars nearby, very much recommended. The welcoming was extremely nice, we got many tips where to go and what to see, in which order. This was beyond my expectation and I did not experience such a warm welcoming anywhere before. The flat is well-equipped, I would recommend staying at Grainne's place."
165829,454044200,5/17/2019,great location
165829,477955553,6/29/2019,Great!
178860,419961053,3/5/2019,"Danielle and Francois are tremendously kind hosts. This was my first Airbnb experience and it was fabulous. Danielle was very quick to answer my questions before the trip and after the trip was great when I forgot something and had I come back and pick it up! Their home is the definition of Dublin quaintness - quirky with different levels and bright colors. The room was very comfortable. They also have the cutest cat! He gives pets out for free. As everyone else has said, the crepes are divine and they made sure I was able to have them even though it was unavailable on their typical Saturday morning crepe time. Would love to stay with them again."
178860,422010551,3/10/2019,"The bed was cosy and comfortable, the pancakes were super and Francois helped me greatly with taxis. A very considerate host."
178860,425512557,3/18/2019,"Great stay for the second time at Danielle and Francois! 

Spacious room, great people, good location. 

Thank you so much again, would recommend this place to everyone!"
178860,434718398,4/8/2019,"Great Airbnb experience! Awesome location, host and house. If youre lucky enough to stay on a Saturday night dont pass up the crepes Sunday morning they were amazing. Will stay here again if Im in Dublin!"
178860,443641258,4/26/2019,Excellent place.
